dimDatePostPK,Dates,Year,Month,MonthPeriod,MonthYear,Day,DayName
20200315,3/15/2020,2020,March,202003,Mar-20,15,Sunday
20200316,3/16/2020,2020,March,202003,Mar-20,16,Monday
20200317,3/17/2020,2020,March,202003,Mar-20,17,Tuesday
20200318,3/18/2020,2020,March,202003,Mar-20,18,Wednesday
20200319,3/19/2020,2020,March,202003,Mar-20,19,Thursday
20200320,3/20/2020,2020,March,202003,Mar-20,20,Friday
20200321,3/21/2020,2020,March,202003,Mar-20,21,Saturday
20200322,3/22/2020,2020,March,202003,Mar-20,22,Sunday
20200323,3/23/2020,2020,March,202003,Mar-20,23,Monday
20200324,3/24/2020,2020,March,202003,Mar-20,24,Tuesday
20200325,3/25/2020,2020,March,202003,Mar-20,25,Wednesday
20200326,3/26/2020,2020,March,202003,Mar-20,26,Thursday
20200327,3/27/2020,2020,March,202003,Mar-20,27,Friday
20200328,3/28/2020,2020,March,202003,Mar-20,28,Saturday
20200329,3/29/2020,2020,March,202003,Mar-20,29,Sunday
20200330,3/30/2020,2020,March,202003,Mar-20,30,Monday
20200331,3/31/2020,2020,March,202003,Mar-20,31,Tuesday
20200401,4/1/2020,2020,April,202004,Apr-20,1,Wednesday
20200402,4/2/2020,2020,April,202004,Apr-20,2,Thursday
20200403,4/3/2020,2020,April,202004,Apr-20,3,Friday
20200404,4/4/2020,2020,April,202004,Apr-20,4,Saturday
20200405,4/5/2020,2020,April,202004,Apr-20,5,Sunday
20200406,4/6/2020,2020,April,202004,Apr-20,6,Monday
20200407,4/7/2020,2020,April,202004,Apr-20,7,Tuesday
20200408,4/8/2020,2020,April,202004,Apr-20,8,Wednesday
20200409,4/9/2020,2020,April,202004,Apr-20,9,Thursday
20200410,4/10/2020,2020,April,202004,Apr-20,10,Friday
20200411,4/11/2020,2020,April,202004,Apr-20,11,Saturday
20200412,4/12/2020,2020,April,202004,Apr-20,12,Sunday
20200413,4/13/2020,2020,April,202004,Apr-20,13,Monday
20200414,4/14/2020,2020,April,202004,Apr-20,14,Tuesday
20200415,4/15/2020,2020,April,202004,Apr-20,15,Wednesday
20200416,4/16/2020,2020,April,202004,Apr-20,16,Thursday
20200417,4/17/2020,2020,April,202004,Apr-20,17,Friday
20200418,4/18/2020,2020,April,202004,Apr-20,18,Saturday
20200419,4/19/2020,2020,April,202004,Apr-20,19,Sunday
20200420,4/20/2020,2020,April,202004,Apr-20,20,Monday
20200421,4/21/2020,2020,April,202004,Apr-20,21,Tuesday
20200422,4/22/2020,2020,April,202004,Apr-20,22,Wednesday
20200423,4/23/2020,2020,April,202004,Apr-20,23,Thursday
20200424,4/24/2020,2020,April,202004,Apr-20,24,Friday
20200425,4/25/2020,2020,April,202004,Apr-20,25,Saturday
20200426,4/26/2020,2020,April,202004,Apr-20,26,Sunday
20200427,4/27/2020,2020,April,202004,Apr-20,27,Monday
20200428,4/28/2020,2020,April,202004,Apr-20,28,Tuesday
20200429,4/29/2020,2020,April,202004,Apr-20,29,Wednesday
20200430,4/30/2020,2020,April,202004,Apr-20,30,Thursday
20200501,5/1/2020,2020,May,202005,May-20,1,Friday
20200502,5/2/2020,2020,May,202005,May-20,2,Saturday
20200503,5/3/2020,2020,May,202005,May-20,3,Sunday
20200504,5/4/2020,2020,May,202005,May-20,4,Monday
20200505,5/5/2020,2020,May,202005,May-20,5,Tuesday
20200506,5/6/2020,2020,May,202005,May-20,6,Wednesday
20200507,5/7/2020,2020,May,202005,May-20,7,Thursday
20200508,5/8/2020,2020,May,202005,May-20,8,Friday
20200509,5/9/2020,2020,May,202005,May-20,9,Saturday
20200510,5/10/2020,2020,May,202005,May-20,10,Sunday
20200511,5/11/2020,2020,May,202005,May-20,11,Monday
20200512,5/12/2020,2020,May,202005,May-20,12,Tuesday
20200513,5/13/2020,2020,May,202005,May-20,13,Wednesday
20200514,5/14/2020,2020,May,202005,May-20,14,Thursday
20200515,5/15/2020,2020,May,202005,May-20,15,Friday
20200516,5/16/2020,2020,May,202005,May-20,16,Saturday
20200517,5/17/2020,2020,May,202005,May-20,17,Sunday
20200518,5/18/2020,2020,May,202005,May-20,18,Monday
20200519,5/19/2020,2020,May,202005,May-20,19,Tuesday
20200520,5/20/2020,2020,May,202005,May-20,20,Wednesday
20200521,5/21/2020,2020,May,202005,May-20,21,Thursday
20200522,5/22/2020,2020,May,202005,May-20,22,Friday
20200523,5/23/2020,2020,May,202005,May-20,23,Saturday
20200524,5/24/2020,2020,May,202005,May-20,24,Sunday
20200525,5/25/2020,2020,May,202005,May-20,25,Monday
20200526,5/26/2020,2020,May,202005,May-20,26,Tuesday
20200527,5/27/2020,2020,May,202005,May-20,27,Wednesday
20200528,5/28/2020,2020,May,202005,May-20,28,Thursday
20200529,5/29/2020,2020,May,202005,May-20,29,Friday
20200530,5/30/2020,2020,May,202005,May-20,30,Saturday
20200531,5/31/2020,2020,May,202005,May-20,31,Sunday
20200601,6/1/2020,2020,June,202006,Jun-20,1,Monday
20200602,6/2/2020,2020,June,202006,Jun-20,2,Tuesday
20200603,6/3/2020,2020,June,202006,Jun-20,3,Wednesday
20200604,6/4/2020,2020,June,202006,Jun-20,4,Thursday
20200605,6/5/2020,2020,June,202006,Jun-20,5,Friday
20200606,6/6/2020,2020,June,202006,Jun-20,6,Saturday
20200607,6/7/2020,2020,June,202006,Jun-20,7,Sunday
20200608,6/8/2020,2020,June,202006,Jun-20,8,Monday
20200609,6/9/2020,2020,June,202006,Jun-20,9,Tuesday
20200610,6/10/2020,2020,June,202006,Jun-20,10,Wednesday
20200611,6/11/2020,2020,June,202006,Jun-20,11,Thursday
20200612,6/12/2020,2020,June,202006,Jun-20,12,Friday
20200613,6/13/2020,2020,June,202006,Jun-20,13,Saturday
20200614,6/14/2020,2020,June,202006,Jun-20,14,Sunday
20200615,6/15/2020,2020,June,202006,Jun-20,15,Monday
20200616,6/16/2020,2020,June,202006,Jun-20,16,Tuesday
20200617,6/17/2020,2020,June,202006,Jun-20,17,Wednesday
20200618,6/18/2020,2020,June,202006,Jun-20,18,Thursday
20200619,6/19/2020,2020,June,202006,Jun-20,19,Friday
20200620,6/20/2020,2020,June,202006,Jun-20,20,Saturday
20200621,6/21/2020,2020,June,202006,Jun-20,21,Sunday
20200622,6/22/2020,2020,June,202006,Jun-20,22,Monday
20200623,6/23/2020,2020,June,202006,Jun-20,23,Tuesday
20200624,6/24/2020,2020,June,202006,Jun-20,24,Wednesday
20200625,6/25/2020,2020,June,202006,Jun-20,25,Thursday
20200626,6/26/2020,2020,June,202006,Jun-20,26,Friday
20200627,6/27/2020,2020,June,202006,Jun-20,27,Saturday
20200628,6/28/2020,2020,June,202006,Jun-20,28,Sunday
20200629,6/29/2020,2020,June,202006,Jun-20,29,Monday
20200630,6/30/2020,2020,June,202006,Jun-20,30,Tuesday
20200701,7/1/2020,2020,July,202007,Jul-20,1,Wednesday
20200702,7/2/2020,2020,July,202007,Jul-20,2,Thursday
20200703,7/3/2020,2020,July,202007,Jul-20,3,Friday
20200704,7/4/2020,2020,July,202007,Jul-20,4,Saturday
20200706,7/6/2020,2020,July,202007,Jul-20,6,Monday
20200707,7/7/2020,2020,July,202007,Jul-20,7,Tuesday
20200708,7/8/2020,2020,July,202007,Jul-20,8,Wednesday
20200709,7/9/2020,2020,July,202007,Jul-20,9,Thursday
20200710,7/10/2020,2020,July,202007,Jul-20,10,Friday
20200711,7/11/2020,2020,July,202007,Jul-20,11,Saturday
20200712,7/12/2020,2020,July,202007,Jul-20,12,Sunday
20200713,7/13/2020,2020,July,202007,Jul-20,13,Monday
20200714,7/14/2020,2020,July,202007,Jul-20,14,Tuesday
20200715,7/15/2020,2020,July,202007,Jul-20,15,Wednesday
20200716,7/16/2020,2020,July,202007,Jul-20,16,Thursday
